标题： 衣不如新，人不如故，初恋与现任谁更美好 	 链接：http://tieba.baidu.com//p/5934323686 	 发帖人：化凡15 	 发帖时间：11-1 	 回复数量： 11 
标题： 请问谁有第九季12.13集720p无字幕的资源？ 	 链接：http://tieba.baidu.com//p/5934204124 	 发帖人：Blooming_SG 	 发帖时间：11-1 	 回复数量： 1 
标题： 每周几更新呀 	 链接：http://tieba.baidu.com//p/5934187267 	 发帖人：虐怪猎人... 	 发帖时间：11-1 	 回复数量： 0 
标题： 开个科普贴，本人在印度（农村）生活过8个月，有什么想问的 	 链接：http://tieba.baidu.com//p/1491364062 	 发帖人：黑色诱惑1... 	 发帖时间：2014-03 	 回复数量： 30033 
标题： 果然现实中佩妮和莱纳德这种身份关系会感觉怪怪的 	 链接：http://tieba.baidu.com//p/5929276255 	 发帖人：假动作一... 	 发帖时间：10-28 	 回复数量： 3 
标题： 第四季2集里的沃兹尼亚克——真正的牛人，时代的领航者 	 链接：http://tieba.baidu.com//p/1394668144 	 发帖人：率领西大... 	 发帖时间：2012-02 	 回复数量： 28 
标题： 提问：关于薛定谔的猫 	 链接：http://tieba.baidu.com//p/5929848948 	 发帖人：霜色月茫下 	 发帖时间：10-28 	 回复数量： 2 
标题： 生活大爆炸：谢尔顿拿着两个热狗向艾米道歉！ 	 链接：http://tieba.baidu.com//p/5926256263 	 发帖人：锦欢g 	 发帖时间：10-25 	 回复数量： 1 
标题： 突然有个想法 兰德尔给佩妮的北极雪花 	 链接：http://tieba.baidu.com//p/5932975280 	 发帖人：会更快乐... 	 发帖时间：10-31 	 回复数量： 1 
标题： 生活大爆炸：他们和佩妮的第一次见面，有点尴尬，她需要帮忙 	 链接：http://tieba.baidu.com//p/5912400450 	 发帖人：白鸽泉水y 	 发帖时间：10-13 	 回复数量： 5 
标题： 谢耳朵敲门一定要敲三下在哪集解释原因了，最近在看小谢尔顿，一 	 链接：http://tieba.baidu.com//p/5924155911 	 发帖人：1026432832 	 发帖时间：10-23 	 回复数量： 4 
标题： 有一集是谢尔顿和不同的自己开会，穿着各种服装，是哪集？ 	 链接：http://tieba.baidu.com//p/5923971442 	 发帖人：一切有7 	 发帖时间：10-23 	 回复数量： 4 
标题： 好想要TBBT里这样的一群朋友呀呀呀 	 链接：http://tieba.baidu.com//p/5932442295 	 发帖人：我给你架... 	 发帖时间：10-31 	 回复数量： 0 
标题： 突然有种除了婚礼外莫名的感动，莱纳德和谢尔顿这一对好基友，真 	 链接：http://tieba.baidu.com//p/5849739986 	 发帖人：燎沉香 	 发帖时间：8-21 	 回复数量： 5 
标题： 生活大爆炸-拉杰提出的婚礼策划简直酷到极点，有生之年可以一试 	 链接：http://tieba.baidu.com//p/5926381981 	 发帖人：恶魔的千... 	 发帖时间：10-25 	 回复数量： 0 
标题： 求raj看到某一名女性之后幻想和她结婚生孩子是哪一集呀？ 	 链接：http://tieba.baidu.com//p/5491555107 	 发帖人：杜甫山里... 	 发帖时间：2017-12 	 回复数量： 5 
标题： 生活大爆炸 铁粉报到处 	 链接：http://tieba.baidu.com//p/5931649142 	 发帖人：活宝雪汝 	 发帖时间：10-30 	 回复数量： 1 
